"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_18","right lever","no reaction",362,"P","both paws",5.89164421182577,2,"both",0
"squirrel_18","left lever","no reaction",363,"P","both paws",5.89440283426485,0,"both",0
"squirrel_18","left lever","no reaction",364,"P","left paw",5.89715386763674,2,"ipsi",0
"squirrel_16","right lever","exit",67,"P","left paw",4.20469261939097,2,"contra",0
"squirrel_18","left lever","no reaction",365,"P","both paws",5.89989735358249,1,"both",0
"squirrel_18","left lever","no reaction",366,"P","both paws",5.90263333340137,1,"both",0
"squirrel_16","left lever","exit",68,"P","left paw",4.21950770517611,2,"ipsi",0
"squirrel_18","left lever","no reaction",367,"P","left paw",5.90536184805457,1,"ipsi",0
"squirrel_18","left lever","no reaction",368,"P","both paws",5.90808293816893,1,"both",0
"squirrel_18","left lever","no reaction",369,"P","left paw",5.91079664404053,1,"ipsi",0
"squirrel_18","left lever","no reaction",370,"P","both paws",5.91350300563827,2,"both",0
"squirrel_18","left lever","no reaction",371,"P","left paw",5.91620206260743,1,"ipsi",0
"squirrel_18","left lever","no reaction",372,"P","both paws",5.91889385427315,1,"both",0
"squirrel_16","left lever","exit",69,"P","left paw",4.23410650459726,7,"ipsi",0
"squirrel_16","left lever","exit",70,"P","left paw",4.24849524204936,1,"ipsi",0
"squirrel_16","right lever","exit",71,"P","right paw",4.26267987704132,1,"ipsi",0
"squirrel_16","left lever","exit",72,"P","right paw",4.27666611901606,2,"contra",0
"squirrel_16","left lever","exit",73,"P","left paw",4.29045944114839,1,"ipsi",0
"squirrel_16","left lever","exit",74,"P","left paw",4.30406509320417,1,"ipsi",0
"squirrel_16","left lever","exit",75,"P","left paw",4.31748811353631,1,"ipsi",0
"squirrel_16","left lever","exit",76,"P","right paw",4.33073334028633,4,"contra",0
"squirrel_16","left lever","flinch",77,"P","left paw",4.34380542185368,1,"ipsi",0
"squirrel_16","left lever","exit",78,"P","right paw",4.35670882668959,2,"contra",0
"squirrel_23","left lever","exit",63,"P","left paw",4.14313472639153,4,"ipsi",0
