"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_23",29,1,0.766000000000076,1,4.73300000000017,"A","F",1,3.36729582998647
"squirrel_23",30,1,3.56700000000001,1,7.76699999999983,"A","F",1,3.40119738166216
"squirrel_23",31,4,1.43299999999999,1,19.9659999999999,"A","F",1,3.43398720448515
"squirrel_23",32,1,0.333000000000084,0,6.5659999999998,"A","F",1,3.46573590279973
"squirrel_23",33,6,3.47299999999996,1,63.2730000000001,"A","F",0,3.49650756146648
"squirrel_23",34,20,0.572999999999865,1,104.206,"A","F",0,3.52636052461616
"squirrel_29",1,0,NA,0,20.7,"A","M",0,0
"squirrel_29",2,0,NA,1,12.7330000000002,"A","M",1,0.693147180559945
"squirrel_29",3,0,NA,1,46.7660000000001,"A","M",1,1.09861228866811
"squirrel_29",4,0,NA,1,81.865,"A","M",1,1.38629436111989
"squirrel_29",5,0,NA,0,4.69999999999982,"A","M",1,1.6094379124341
"squirrel_29",6,1,22.8,1,60.2389999999998,"A","M",1,1.79175946922805
"squirrel_29",7,0,NA,1,43.2389999999996,"A","M",1,1.94591014905531
"squirrel_29",8,1,78.4120000000003,1,142.117,"A","M",1,2.07944154167984
"squirrel_29",9,0,NA,0,4.33300000000008,"A","M",0,2.19722457733622
"squirrel_29",10,0,NA,1,73.2049999999999,"A","M",0,2.30258509299405
"squirrel_29",11,0,NA,0,48.2669999999998,"A","M",0,2.39789527279837
"squirrel_29",12,0,NA,1,123.239,"A","M",0,2.484906649788
"squirrel_29",13,0,NA,0,13.7330000000002,"A","M",0,2.56494935746154
"squirrel_29",14,0,NA,0,19.9720000000002,"A","M",0,2.63905732961526
"squirrel_29",15,1,0.932999999999993,0,1.19999999999982,"A","M",0,2.70805020110221
"squirrel_29",16,0,NA,1,32.3989999999999,"A","M",0,2.77258872223978
"squirrel_29",17,0,NA,0,20.5330000000004,"A","M",0,2.83321334405622
"squirrel_29",18,0,NA,0,14.7670000000003,"A","M",0,2.89037175789616
"squirrel_16",1,0,NA,0,31.666,"A","M",0,0
"squirrel_16",2,1,21.266,0,21.6,"A","M",0,0.693147180559945
"squirrel_16",3,0,NA,1,30.1,"A","M",0,1.09861228866811
"squirrel_16",4,1,32.106,0,32.506,"A","M",0,1.38629436111989
"squirrel_16",5,0,NA,1,61.199,"A","M",0,1.6094379124341
"squirrel_16",6,0,NA,0,29.6,"A","M",0,1.79175946922805
"squirrel_16",7,0,NA,0,14.173,"A","M",0,1.94591014905531
